,,Lot Area,Lot Shape,Land Slope,Overall Qual,Overall Cond,Mas Vnr Area,Exter Cond,Bsmt Cond,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Electrical,Low Qual Fin SF,Gr Liv Area,Bsmt Half Bath,Half Bath,Kitchen AbvGr,Functional,Fireplace Qu,Garage Qual,Paved Drive,Pool QC,Misc Val,Mo Sold,bsmt_fin_sf,yr_since_remod,porch_area,wood_deck,open_porch,enclosed_porch,3ssn_porch,screen_porch,large_house,SalePrice,Bsmt Exposure,Garage Finish,Foundation,House Style,Mas Vnr Type,Bldg Type,MS Zoning,Alley,Land Contour,Sale Type,Roof Style,Exterior 1st
train,0,13517,-1,0,6,8,289.0,1,1,3,0,3,0,0,1479,0.0,1,1,3,0,1,0,0,0,3,533.0,5,44,False,True,False,False,False,False,130500.0,-2,-1,CBlock,2Story,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,HdBoard
train,1,11492,-1,0,7,5,132.0,1,1,3,0,3,0,0,2122,0.0,1,1,3,1,1,0,0,0,4,637.0,12,74,False,True,False,False,False,False,220000.0,-2,-1,PConc,2Story,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,2,7922,0,0,5,7,0.0,2,1,3,0,1,0,0,1057,0.0,0,1,3,0,1,0,0,0,1,731.0,3,52,False,True,False,False,False,False,109000.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,3,9802,0,0,5,5,0.0,1,1,0,0,2,0,0,1444,0.0,1,1,3,0,1,0,0,0,4,0.0,3,100,True,False,False,False,False,False,174000.0,-2,1,PConc,2Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,4,14235,-1,0,6,8,0.0,1,2,0,0,1,0,0,1445,0.0,0,1,3,0,1,-1,0,0,3,0.0,17,59,False,True,False,False,False,False,138500.0,-2,-2,PConc,1.5Fin,None,1Fam,RL,none,Lvl,WD ,Gable,Wd Sdng
train,5,16492,-1,0,6,6,0.0,1,1,2,-1,3,0,0,1888,0.0,1,1,0,2,1,0,0,0,6,960.0,8,0,False,False,False,False,False,False,190000.0,-2,1,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,BrkFace
train,6,3675,0,0,6,5,82.0,1,1,3,0,2,0,0,1072,0.0,0,1,3,0,1,0,0,0,6,547.0,0,44,False,True,False,False,False,False,140000.0,2,1,PConc,SFoyer,BrkFace,TwnhsE,RM,none,Lvl,New,Gable,VinylSd
train,7,12160,-1,0,5,5,180.0,1,1,-1,0,-1,0,0,1188,0.0,0,1,3,0,1,0,0,0,5,1000.0,51,0,False,False,False,False,False,False,142000.0,-2,-1,CBlock,1Story,BrkFace,1Fam,RL,none,Lvl,COD,Hip,Plywood
train,8,15783,0,0,5,5,0.0,1,1,-1,0,1,0,0,924,0.0,0,1,3,0,1,0,0,400,6,292.0,55,324,False,True,False,False,False,False,112500.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,Wd Sdng
train,9,11606,-1,-2,5,5,192.0,1,1,-1,0,1,0,0,2080,1.0,2,1,3,1,1,0,0,0,9,650.0,38,335,True,False,False,False,False,False,135000.0,1,-2,PConc,2Story,BrkFace,1Fam,RL,none,HLS,WD ,Gable,Plywood
train,10,1680,0,0,6,5,232.0,1,1,2,0,1,0,0,987,0.0,1,1,3,0,1,0,0,0,7,387.0,37,0,False,False,False,False,False,False,85400.0,-2,-2,CBlock,2Story,BrkFace,Twnhs,RM,none,Lvl,COD,Gable,HdBoard
train,11,7488,-1,0,7,5,0.0,1,1,3,0,3,0,0,1208,0.0,0,1,3,0,1,0,0,0,2,393.0,1,163,True,True,False,False,False,False,183600.0,1,-1,PConc,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,12,26400,0,0,5,7,0.0,1,0,0,0,3,0,0,2016,0.0,0,1,0,1,1,-2,0,0,6,0.0,2,0,False,False,False,False,False,False,131000.0,none,-2,PConc,2Story,None,1Fam,RL,none,Bnk,WD ,Gable,HdBoard
train,13,2645,0,0,8,5,456.0,1,1,3,0,3,0,0,1607,0.0,1,1,3,0,1,0,0,0,12,813.0,8,169,True,False,False,False,False,False,200000.0,-2,-2,PConc,2Story,BrkFace,Twnhs,FV,Pave,Lvl,ConLD,Gable,MetalSd
train,14,9627,0,0,7,5,0.0,1,1,3,0,3,0,0,1361,0.0,0,1,3,0,1,0,0,0,6,24.0,1,50,False,True,False,False,False,False,193000.0,1,-1,PConc,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
